HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,Size(sqf)_bins,N_FacilitiesInApt_bins,N_FacilitiesNearBy(PublicOffice)_bins,N_SchoolNearBy(University)_bins
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,161504,501-1000,7,5,4
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,344690,501-1000,9,7,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,107079,501-1000,3,5,4
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,279203,501-1000,8,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,261061,2001-2500,4,5,1
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1088,415929,1001-1500,9,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,150442,1001-1500,4,5,1
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,367256,501-1000,10,0,0
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,449557,1501-2000,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,398230,1001-1500,10,3,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,358407,501-1000,9,7,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,254867,1001-1500,4,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,154867,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,246017,501-1000,8,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,230088,1001-1500,4,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,206637,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,282300,501-1000,5,1,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,126548,501-1000,5,7,3
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38053,0-500,3,7,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,172566,501-1000,4,6,5
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,181415,501-1000,8,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,211504,501-1000,5,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,396460,1001-1500,10,3,2
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,203646,501-1000,5,2,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,141150,501-1000,3,7,5
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,61061,501-1000,3,5,0
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,225663,1001-1500,7,5,4
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,376106,1001-1500,5,4,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,320353,501-1000,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,224336,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,169911,501-1000,7,5,4
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,360176,1001-1500,5,4,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,361061,501-1000,7,5,3
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,353982,501-1000,10,0,0
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,212389,1001-1500,5,2,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,203539,1501-2000,4,6,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,200884,501-1000,7,5,4
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,277,95221,0-500,2,3,2
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,172566,501-1000,3,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,215044,501-1000,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,292035,501-1000,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,157522,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,123451,501-1000,4,6,5
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,327433,501-1000,8,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,245575,1001-1500,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,253982,501-1000,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,323389,1501-2000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,172566,501-1000,4,6,5
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,72123,501-1000,3,5,0
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,143362,501-1000,4,6,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,222123,501-1000,4,3,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,116814,501-1000,3,7,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,323008,501-1000,9,7,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,223893,1001-1500,4,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,239823,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,349557,1501-2000,10,3,2
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,278761,501-1000,7,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,250000,501-1000,4,6,5
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,255752,501-1000,8,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,256637,1001-1500,5,1,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,91150,501-1000,4,6,5
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,131415,501-1000,3,5,0
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,168141,501-1000,4,3,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,330088,2001-2500,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,143238,501-1000,7,5,3
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,322123,501-1000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,91592,501-1000,4,6,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,287610,501-1000,4,2,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,225663,1001-1500,4,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,296460,1001-1500,4,5,1
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,406194,1001-1500,5,4,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,408849,1501-2000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,106194,501-1000,4,6,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,141592,501-1000,7,5,4
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,340707,501-1000,9,7,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,117699,501-1000,4,6,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,154424,501-1000,7,5,4
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,150442,501-1000,3,5,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,243362,501-1000,5,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,300884,1501-2000,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,174336,1001-1500,4,5,1
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,210619,501-1000,4,3,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,147787,501-1000,4,5,1
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,161946,501-1000,8,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,64601,501-1000,3,7,5
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,98761,0-500,2,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,95132,501-1000,3,7,5
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,324778,501-1000,5,1,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,498,61946,0-500,3,5,0
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,119469,501-1000,4,6,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,201672,501-1000,5,2,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,83185,501-1000,4,6,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,63716,501-1000,3,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,302654,1001-1500,4,5,1
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,187610,501-1000,5,2,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,371681,1501-2000,4,5,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,60176,501-1000,3,7,5
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,371681,1001-1500,5,1,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,323893,1001-1500,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,97345,501-1000,7,5,4
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,55752,501-1000,3,5,0
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,292035,501-1000,9,7,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,190265,501-1000,5,2,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,270796,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,212389,1501-2000,4,6,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,181415,1001-1500,4,5,1
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,281592,1001-1500,4,2,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,465486,1501-2000,5,4,1
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,262831,501-1000,9,7,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,150442,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,415929,1501-2000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,318584,501-1000,7,5,3
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,317699,1001-1500,5,4,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,69026,0-500,3,7,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,138053,501-1000,3,7,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,195575,501-1000,7,5,4
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,86725,501-1000,5,7,3
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,265486,1001-1500,4,5,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,51327,0-500,3,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,181415,501-1000,5,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,396460,1001-1500,5,1,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,238938,1001-1500,4,5,1
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,234513,501-1000,8,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,199115,501-1000,7,5,4
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,108849,501-1000,3,5,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,236283,501-1000,8,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,127433,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,508849,1501-2000,10,3,2
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,279646,501-1000,4,3,1
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,295575,1001-1500,5,4,1
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,108407,501-1000,3,5,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,265486,1001-1500,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,312389,1001-1500,10,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,290000,1001-1500,4,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,201769,1001-1500,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,360176,1501-2000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,233628,501-1000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,296460,501-1000,5,2,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,387610,1001-1500,5,4,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,199115,501-1000,5,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,309734,501-1000,7,5,3
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,163716,1001-1500,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,215486,501-1000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,209734,501-1000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,222123,501-1000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,246017,501-1000,4,6,5
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,201769,501-1000,3,3,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,357522,1001-1500,5,4,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,284070,501-1000,5,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,380530,2001-2500,5,1,2
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,130088,501-1000,3,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,209734,501-1000,5,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,202654,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,121238,501-1000,4,6,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,327433,501-1000,9,7,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,333628,501-1000,9,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,283185,501-1000,5,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,184955,501-1000,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,247787,1001-1500,5,1,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,432743,1001-1500,5,1,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,35840,0-500,3,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,246017,501-1000,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,247787,2001-2500,4,5,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,152212,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,141884,501-1000,7,5,3
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,203539,501-1000,8,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,257654,501-1000,7,5,3
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,309734,1001-1500,4,6,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,153097,501-1000,4,3,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,159292,501-1000,7,5,4
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,274336,501-1000,9,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,256637,501-1000,4,5,1
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,221238,1001-1500,4,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,168141,1001-1500,4,5,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,345902,1501-2000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,178761,1001-1500,4,5,1
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,160176,501-1000,4,3,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,178761,501-1000,7,5,4
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,408849,1001-1500,5,4,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,165486,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,140380,501-1000,7,5,3
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,340707,1501-2000,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,268141,501-1000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,309734,1501-2000,4,6,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,362831,1001-1500,4,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,262831,1001-1500,5,1,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,99115,501-1000,4,6,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,269911,1001-1500,4,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,376867,1501-2000,10,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,70353,0-500,3,7,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,297787,501-1000,4,3,1
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,325221,501-1000,9,7,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,107964,501-1000,3,5,4
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,335398,501-1000,9,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,149292,501-1000,4,5,1
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,92920,501-1000,3,5,4
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,230088,501-1000,5,2,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,247787,501-1000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,228318,501-1000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,231858,501-1000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,314159,2001-2500,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,334513,501-1000,10,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,74336,501-1000,3,7,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,68141,0-500,3,7,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,74778,501-1000,3,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,207079,501-1000,10,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,300884,1001-1500,5,1,2
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,210619,1001-1500,5,2,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,529203,1501-2000,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,193805,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,165486,501-1000,5,1,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,243362,1501-2000,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,237168,2001-2500,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,274336,1501-2000,5,1,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,157964,501-1000,4,6,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,189115,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,207964,501-1000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,264159,501-1000,5,2,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,254867,501-1000,8,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,402654,1501-2000,10,3,2
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,65486,501-1000,3,5,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,346902,1001-1500,5,1,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,179646,501-1000,5,2,2
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,188265,1001-1500,5,2,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,176991,1001-1500,4,6,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,184955,501-1000,3,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,338053,1001-1500,10,3,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,88495,501-1000,5,7,3
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,148672,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,273451,1001-1500,5,1,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,178318,501-1000,5,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,294690,1001-1500,5,1,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,166371,1001-1500,4,5,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,147787,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,164601,501-1000,8,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,49557,0-500,3,7,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,269911,2001-2500,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,162743,501-1000,4,6,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,296460,501-1000,4,3,1
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,84070,501-1000,3,5,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,82743,501-1000,4,6,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,207964,1001-1500,4,5,1
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,63716,501-1000,5,7,3
